shieldcharacter,attackcharacter,movehitbox,charmovehitbox,shieldadvantage,shieldadvantageforcalculation,correctstartup,correctrow,randomrow1,randomrow2,randomrow3,totalnumberofchoices,correct,randomchoice1,randomchoice2,randomchoice3,choiceA,choiceB,choiceC,choiceD,correctindex,explanation,Column 1
Jigglypuff,Fox,Nair (Late Hit),Fox Nair (Late Hit),-4,4,0,1,9,2,11,12,No Guaranteed Punish,Up Smash (Latest Hit),Jab/Dash Attack/Side B (Air),Fair,Jab/Dash Attack/Side B (Air),Up Smash (Latest Hit),Fair,No Guaranteed Punish,D,Move is -4 on shield. Jigglypuff does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Min Min,Fox,Nair (Late Hit),Fox Nair (Late Hit),-4,4,0,1,8,3,7,10,No Guaranteed Punish,Ram Ram Nair,Dtilt,Dash Attack,Dash Attack,Ram Ram Nair,No Guaranteed Punish,Dtilt,C,Move is -4 on shield. Min Min does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Mario,Fox,Fair,Fox Fair,-14,14,13,7,3,8,10,10,Jab,Nair,Up Air,F Smash,F Smash,Jab,Nair,Up Air,B,Move is -14 on shield. Jab comes out on frame 13.,1.0
Donkey Kong,Fox,Fair,Fox Fair,-14,14,13,3,12,13,1,14,Nair,Fair (Latest Hit),Shield Grab,Dtilt/Dair,Fair (Latest Hit),Shield Grab,Dtilt/Dair,Nair,D,Move is -14 on shield. Nair comes out on frame 13.,1.0
Link,Fox,Fair,Fox Fair,-14,14,10,3,4,1,5,11,Shield Grab/Nair/Up Smash,Up B,Jab,Ftilt,Jab,Up B,Shield Grab/Nair/Up Smash,Ftilt,C,Move is -14 on shield. Shield Grab/Nair/Up Smash comes out on frame 10.,1.0
Samus,Fox,Fair,Fox Fair,-14,14,14,4,10,9,7,11,Jab,Dtilt,Neutral B,Dair (Meteor),Jab,Neutral B,Dair (Meteor),Dtilt,A,Move is -14 on shield. Jab comes out on frame 14.,1.0
Yoshi,Fox,Fair,Fox Fair,-14,14,14,4,1,9,8,10,Jab,F Smash,Up Smash,Down Smash/Down B/Shield Grab,Jab,Down Smash/Down B/Shield Grab,Up Smash,F Smash,A,Move is -14 on shield. Jab comes out on frame 14.,1.0
Kirby,Fox,Fair,Fox Fair,-14,14,13,5,8,10,6,11,Fair/Jab,Up Tilt (Latest Hit)/Dair/Neutral B,Shield Grab,Down Smash,Shield Grab,Up Tilt (Latest Hit)/Dair/Neutral B,Down Smash,Fair/Jab,D,Move is -14 on shield. Fair/Jab comes out on frame 13.,1.0
Fox,Fox,Fair,Fox Fair,-14,14,13,6,1,7,4,10,Jab,Nair,Dash Attack,Up Smash/Dair,Nair,Up Smash/Dair,Jab,Dash Attack,C,Move is -14 on shield. Jab comes out on frame 13.,1.0
Pikachu,Fox,Fair,Fox Fair,-14,14,14,6,10,8,1,11,Fair,Jab,Up Tilt (Latest Hit),F Smash,Up Tilt (Latest Hit),Jab,Fair,F Smash,C,Move is -14 on shield. Fair comes out on frame 14.,1.0
Luigi,Fox,Fair,Fox Fair,-14,14,13,5,11,8,9,11,Up Smash (Latest Hit)/Jab/Dair,Dash Attack,Nair,F Smash,Up Smash (Latest Hit)/Jab/Dair,Nair,Dash Attack,F Smash,A,Move is -14 on shield. Up Smash (Latest Hit)/Jab/Dair comes out on frame 13.,1.0
Ness,Fox,Fair,Fox Fair,-14,14,14,5,11,9,7,11,Jab/Dtilt,No Guaranteed Punish,Up Smash/Shield Grab/Down B (Air),Ftilt,No Guaranteed Punish,Up Smash/Shield Grab/Down B (Air),Ftilt,Jab/Dtilt,D,Move is -14 on shield. Jab/Dtilt comes out on frame 14.,1.0
Captain Falcon,Fox,Fair,Fox Fair,-14,14,14,3,8,4,11,11,Up B (Ground)/Jab,Up B (Air)/Fair,No Guaranteed Punish,Up Smash/Dtilt,No Guaranteed Punish,Up B (Ground)/Jab,Up B (Air)/Fair,Up Smash/Dtilt,B,Move is -14 on shield. Up B (Ground)/Jab comes out on frame 14.,1.0
Jigglypuff,Fox,Fair,Fox Fair,-14,14,11,5,7,1,3,12,Fair,Jab/Dash Attack/Side B (Air),Down B (Air),Up Smash (Latest Hit),Fair,Down B (Air),Jab/Dash Attack/Side B (Air),Up Smash (Latest Hit),A,Move is -14 on shield. Fair comes out on frame 11.,1.0
Min Min,Fox,Fair,Fox Fair,-14,14,11,3,5,9,1,10,Ram Ram Nair,Dtilt,Dash Attack,F Smash,Ram Ram Nair,Dtilt,Dash Attack,F Smash,A,Move is -14 on shield. Ram Ram Nair comes out on frame 11.,1.0
Mario,Fox,Bair,Fox Bair,-4,4,3,2,8,1,6,10,Up B,Nair,F Smash,Dash Attack,Dash Attack,F Smash,Nair,Up B,D,Move is -4 on shield. Up B comes out on frame 3.,1.0
Donkey Kong,Fox,Bair,Fox Bair,-4,4,0,1,9,5,2,14,No Guaranteed Punish,Neutral B (Full Charge),Down B (Ground),Side B,No Guaranteed Punish,Neutral B (Full Charge),Side B,Down B (Ground),A,Move is -4 on shield. Donkey Kong does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Link,Fox,Bair,Fox Bair,-4,4,0,1,10,3,5,11,No Guaranteed Punish,Jab,Dair,Down Smash/Up Tilt (Latest Hit),No Guaranteed Punish,Jab,Down Smash/Up Tilt (Latest Hit),Dair,A,Move is -4 on shield. Link does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Samus,Fox,Bair,Fox Bair,-4,4,4,2,7,11,9,11,Up B,No Guaranteed Punish,F Smash,Up Tilt (Latest Hit),F Smash,Up Tilt (Latest Hit),Up B,No Guaranteed Punish,C,Move is -4 on shield. Up B comes out on frame 4.,1.0
Yoshi,Fox,Bair,Fox Bair,-4,4,0,1,3,4,5,10,No Guaranteed Punish,Ftilt,Up Smash,Down Smash/Down B/Shield Grab,Up Smash,Down Smash/Down B/Shield Grab,No Guaranteed Punish,Ftilt,C,Move is -4 on shield. Yoshi does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Kirby,Fox,Bair,Fox Bair,-4,4,0,1,7,3,5,11,No Guaranteed Punish,Dtilt,Down Smash,F Smash,Down Smash,Dtilt,F Smash,No Guaranteed Punish,D,Move is -4 on shield. Kirby does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Fox,Fox,Bair,Fox Bair,-4,4,0,1,6,7,9,10,No Guaranteed Punish,Dtilt/Up Tilt (Latest Hit),Dash Attack,Jab,No Guaranteed Punish,Jab,Dtilt/Up Tilt (Latest Hit),Dash Attack,A,Move is -4 on shield. Fox does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Pikachu,Fox,Bair,Fox Bair,-4,4,0,1,11,7,5,11,No Guaranteed Punish,Up Tilt (Latest Hit),Dtilt,Up Smash,Up Tilt (Latest Hit),Dtilt,Up Smash,No Guaranteed Punish,D,Move is -4 on shield. Pikachu does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Luigi,Fox,Bair,Fox Bair,-4,4,0,1,9,2,5,11,No Guaranteed Punish,F Smash,Up Smash (Latest Hit)/Jab/Dair,Shield Grab,F Smash,Up Smash (Latest Hit)/Jab/Dair,Shield Grab,No Guaranteed Punish,D,Move is -4 on shield. Luigi does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Ness,Fox,Bair,Fox Bair,-4,4,0,1,6,5,3,11,No Guaranteed Punish,Nair,Ftilt,F Smash,Ftilt,No Guaranteed Punish,F Smash,Nair,B,Move is -4 on shield. Ness does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Captain Falcon,Fox,Bair,Fox Bair,-4,4,0,1,11,10,7,11,No Guaranteed Punish,Down B,Up B (Ground)/Jab,Dair,Down B,Dair,No Guaranteed Punish,Up B (Ground)/Jab,C,Move is -4 on shield. Captain Falcon does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Jigglypuff,Fox,Bair,Fox Bair,-4,4,0,1,2,10,12,12,No Guaranteed Punish,Ftilt,Nair,Dtilt,Ftilt,Dtilt,Nair,No Guaranteed Punish,D,Move is -4 on shield. Jigglypuff does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Min Min,Fox,Bair,Fox Bair,-4,4,0,1,3,10,5,10,No Guaranteed Punish,F Smash,Up Smash,Dash Attack,Dash Attack,Up Smash,No Guaranteed Punish,F Smash,C,Move is -4 on shield. Min Min does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Mario,Fox,Up Air (2nd Hit),Fox Up Air (2nd Hit),-9,9,7,4,10,1,5,10,Up Air,Nair,Up Smash (final hitbox),No Guaranteed Punish,Up Air,Nair,No Guaranteed Punish,Up Smash (final hitbox),A,Move is -9 on shield. Up Air comes out on frame 7.,1.0
Donkey Kong,Fox,Up Air (2nd Hit),Fox Up Air (2nd Hit),-9,9,0,1,7,5,6,14,No Guaranteed Punish,Dash Attack,Up B (Ground),Neutral B (Full Charge),Neutral B (Full Charge),No Guaranteed Punish,Up B (Ground),Dash Attack,B,Move is -9 on shield. Donkey Kong does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Link,Fox,Up Air (2nd Hit),Fox Up Air (2nd Hit),-9,9,7,2,8,7,9,11,Up B,Shield Grab/Nair/Up Smash,Fair,F Smash,Shield Grab/Nair/Up Smash,Fair,F Smash,Up B,D,Move is -9 on shield. Up B comes out on frame 7.,1.0
Samus,Fox,Up Air (2nd Hit),Fox Up Air (2nd Hit),-9,9,4,2,7,8,11,11,Up B,Dtilt,Neutral B,Shield Grab/Dash Attack/Ftilt,Neutral B,Up B,Dtilt,Shield Grab/Dash Attack/Ftilt,B,Move is -9 on shield. Up B comes out on frame 4.,1.0
Yoshi,Fox,Up Air (2nd Hit),Fox Up Air (2nd Hit),-9,9,6,2,10,1,4,10,Nair,F Smash,Ftilt,Up Tilt/Dtilt/Dair,Nair,Ftilt,Up Tilt/Dtilt/Dair,F Smash,A,Move is -9 on shield. Nair comes out on frame 6.,1.0
Kirby,Fox,Up Air (2nd Hit),Fox Up Air (2nd Hit),-9,9,0,1,10,8,3,11,No Guaranteed Punish,Shield Grab,Fair/Jab,F Smash,F Smash,Shield Grab,No Guaranteed Punish,Fair/Jab,C,Move is -9 on shield. Kirby does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Fox,Fox,Up Air (2nd Hit),Fox Up Air (2nd Hit),-9,9,8,4,10,9,7,10,Up Smash/Dair,Nair,Down B (Air),Jab,Up Smash/Dair,Jab,Nair,Down B (Air),A,Move is -9 on shield. Up Smash/Dair comes out on frame 8.,1.0
Pikachu,Fox,Up Air (2nd Hit),Fox Up Air (2nd Hit),-9,9,6,2,1,5,4,11,Nair,Up Tilt (Latest Hit),Fair,Jab,Nair,Jab,Fair,Up Tilt (Latest Hit),A,Move is -9 on shield. Nair comes out on frame 6.,1.0
Luigi,Fox,Up Air (2nd Hit),Fox Up Air (2nd Hit),-9,9,8,3,4,5,9,11,Up B/Up Air,No Guaranteed Punish,F Smash,Fair,F Smash,Up B/Up Air,Fair,No Guaranteed Punish,B,Move is -9 on shield. Up B/Up Air comes out on frame 8.,1.0
Ness,Fox,Up Air (2nd Hit),Fox Up Air (2nd Hit),-9,9,8,2,1,8,5,11,Nair,Side B (Ground),Dair/Side B (Air),Fair/Up Air,Fair/Up Air,Dair/Side B (Air),Nair,Side B (Ground),C,Move is -9 on shield. Nair comes out on frame 8.,1.0
Captain Falcon,Fox,Up Air (2nd Hit),Fox Up Air (2nd Hit),-9,9,0,1,8,2,4,11,No Guaranteed Punish,Dash Attack/Ftilt,Dair,Shield Grab/Nair/Up Air,Shield Grab/Nair/Up Air,Dash Attack/Ftilt,No Guaranteed Punish,Dair,C,Move is -9 on shield. Captain Falcon does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Jigglypuff,Fox,Up Air (2nd Hit),Fox Up Air (2nd Hit),-9,9,9,3,8,5,4,12,Nair,Down Smash,Jab/Dash Attack/Side B (Air),Fair,Fair,Nair,Jab/Dash Attack/Side B (Air),Down Smash,B,Move is -9 on shield. Nair comes out on frame 9.,1.0
Min Min,Fox,Up Air (2nd Hit),Fox Up Air (2nd Hit),-9,9,8,2,7,3,1,10,Up Smash,Dtilt,Ftilt,Dash Attack,Ftilt,Up Smash,Dtilt,Dash Attack,B,Move is -9 on shield. Up Smash comes out on frame 8.,1.0
Mario,Fox,Dair,Fox Dair,-14,14,13,7,4,10,9,10,Jab,No Guaranteed Punish,F Smash,Up Air,No Guaranteed Punish,Up Air,F Smash,Jab,D,Move is -14 on shield. Jab comes out on frame 13.,1.0
Donkey Kong,Fox,Dair,Fox Dair,-14,14,13,3,13,11,6,14,Nair,Ftilt,F Smash,Shield Grab,Shield Grab,Nair,F Smash,Ftilt,B,Move is -14 on shield. Nair comes out on frame 13.,1.0
Link,Fox,Dair,Fox Dair,-14,14,10,3,5,7,8,11,Shield Grab/Nair/Up Smash,Fair,Down Smash/Up Tilt (Latest Hit),No Guaranteed Punish,Down Smash/Up Tilt (Latest Hit),Shield Grab/Nair/Up Smash,Fair,No Guaranteed Punish,B,Move is -14 on shield. Shield Grab/Nair/Up Smash comes out on frame 10.,1.0
Samus,Fox,Dair,Fox Dair,-14,14,14,4,10,9,5,11,Jab,Dtilt,Down Smash,No Guaranteed Punish,Jab,No Guaranteed Punish,Down Smash,Dtilt,A,Move is -14 on shield. Jab comes out on frame 14.,1.0
Yoshi,Fox,Dair,Fox Dair,-14,14,14,4,7,2,1,10,Jab,Fair (Latest Hit),Up Tilt/Dtilt/Dair,No Guaranteed Punish,Up Tilt/Dtilt/Dair,Jab,No Guaranteed Punish,Fair (Latest Hit),B,Move is -14 on shield. Jab comes out on frame 14.,1.0
Kirby,Fox,Dair,Fox Dair,-14,14,13,5,1,2,7,11,Fair/Jab,Ftilt,Down Smash,Shield Grab,Shield Grab,Down Smash,Fair/Jab,Ftilt,C,Move is -14 on shield. Fair/Jab comes out on frame 13.,1.0
Fox,Fox,Dair,Fox Dair,-14,14,13,6,8,2,9,10,Jab,Down Smash,Shield Grab/Fair,No Guaranteed Punish,Jab,Down Smash,No Guaranteed Punish,Shield Grab/Fair,A,Move is -14 on shield. Jab comes out on frame 13.,1.0
Pikachu,Fox,Dair,Fox Dair,-14,14,14,6,1,4,2,11,Fair,F Smash,Down Smash,Jab,Fair,Down Smash,Jab,F Smash,A,Move is -14 on shield. Fair comes out on frame 14.,1.0
Luigi,Fox,Dair,Fox Dair,-14,14,13,5,8,2,3,11,Up Smash (Latest Hit)/Jab/Dair,Up B/Up Air,Down Smash,Up Tilt/Dtilt/Ftilt,Down Smash,Up Tilt/Dtilt/Ftilt,Up Smash (Latest Hit)/Jab/Dair,Up B/Up Air,C,Move is -14 on shield. Up Smash (Latest Hit)/Jab/Dair comes out on frame 13.,1.0
Ness,Fox,Dair,Fox Dair,-14,14,14,5,3,6,7,11,Jab/Dtilt,Dash Attack,Fair/Up Air,No Guaranteed Punish,Dash Attack,No Guaranteed Punish,Fair/Up Air,Jab/Dtilt,D,Move is -14 on shield. Jab/Dtilt comes out on frame 14.,1.0
Captain Falcon,Fox,Dair,Fox Dair,-14,14,14,3,6,8,9,11,Up B (Ground)/Jab,Dash Attack/Ftilt,Up Tilt (Latest Hit),Dair,Up Tilt (Latest Hit),Up B (Ground)/Jab,Dair,Dash Attack/Ftilt,B,Move is -14 on shield. Up B (Ground)/Jab comes out on frame 14.,1.0
Jigglypuff,Fox,Dair,Fox Dair,-14,14,11,5,11,2,8,12,Fair,Up Air (Latest Hit),Up Smash (Latest Hit),Down B (Air),Down B (Air),Up Air (Latest Hit),Fair,Up Smash (Latest Hit),C,Move is -14 on shield. Fair comes out on frame 11.,1.0
Min Min,Fox,Dair,Fox Dair,-14,14,11,3,8,7,10,10,Ram Ram Nair,F Smash,No Guaranteed Punish,Jab,F Smash,No Guaranteed Punish,Ram Ram Nair,Jab,C,Move is -14 on shield. Ram Ram Nair comes out on frame 11.,1.0
Mario,Pikachu,Nair,Pikachu Nair,-7,7,7,4,8,7,6,10,Up Air,Jab,No Guaranteed Punish,Shield Grab,Shield Grab,No Guaranteed Punish,Up Air,Jab,C,Move is -7 on shield. Up Air comes out on frame 7.,1.0
Donkey Kong,Pikachu,Nair,Pikachu Nair,-7,7,0,1,5,2,6,14,No Guaranteed Punish,Neutral B (Full Charge),Down B (Ground),Fair (Latest Hit),Down B (Ground),Neutral B (Full Charge),No Guaranteed Punish,Fair (Latest Hit),C,Move is -7 on shield. Donkey Kong does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Link,Pikachu,Nair,Pikachu Nair,-7,7,7,2,11,5,8,11,Up B,Down Smash/Up Tilt (Latest Hit),Dair,F Smash,F Smash,Down Smash/Up Tilt (Latest Hit),Dair,Up B,D,Move is -7 on shield. Up B comes out on frame 7.,1.0
Samus,Pikachu,Nair,Pikachu Nair,-7,7,4,2,1,9,3,11,Up B,Jab,Shield Grab/Dash Attack/Ftilt,F Smash,F Smash,Up B,Jab,Shield Grab/Dash Attack/Ftilt,B,Move is -7 on shield. Up B comes out on frame 4.,1.0
Yoshi,Pikachu,Nair,Pikachu Nair,-7,7,6,2,7,1,4,10,Nair,Down Smash/Down B/Shield Grab,Jab,Up Smash,Down Smash/Down B/Shield Grab,Jab,Nair,Up Smash,C,Move is -7 on shield. Nair comes out on frame 6.,1.0
Kirby,Pikachu,Nair,Pikachu Nair,-7,7,0,1,3,2,6,11,No Guaranteed Punish,Down Smash,F Smash,Up Smash,F Smash,No Guaranteed Punish,Up Smash,Down Smash,B,Move is -7 on shield. Kirby does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Fox,Pikachu,Nair,Pikachu Nair,-7,7,7,3,1,5,9,10,Nair,Jab,Down Smash,No Guaranteed Punish,No Guaranteed Punish,Nair,Jab,Down Smash,B,Move is -7 on shield. Nair comes out on frame 7.,1.0
Pikachu,Pikachu,Nair,Pikachu Nair,-7,7,6,2,9,4,5,11,Nair,Up Tilt (Latest Hit),Down Smash,Up Smash,Up Tilt (Latest Hit),Up Smash,Down Smash,Nair,D,Move is -7 on shield. Nair comes out on frame 6.,1.0
Luigi,Pikachu,Nair,Pikachu Nair,-7,7,6,2,7,4,3,11,Nair,Up Smash (Latest Hit)/Jab/Dair,F Smash,Up B/Up Air,Up Smash (Latest Hit)/Jab/Dair,Nair,F Smash,Up B/Up Air,B,Move is -7 on shield. Nair comes out on frame 6.,1.0
Ness,Pikachu,Nair,Pikachu Nair,-7,7,0,1,5,2,9,11,No Guaranteed Punish,Side B (Ground),Ftilt,F Smash,Side B (Ground),Ftilt,No Guaranteed Punish,F Smash,C,Move is -7 on shield. Ness does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Captain Falcon,Pikachu,Nair,Pikachu Nair,-7,7,0,1,11,4,2,11,No Guaranteed Punish,Up Smash/Dtilt,Up B (Air)/Fair,Dair,Dair,Up Smash/Dtilt,No Guaranteed Punish,Up B (Air)/Fair,C,Move is -7 on shield. Captain Falcon does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Jigglypuff,Pikachu,Nair,Pikachu Nair,-7,7,5,2,11,8,10,12,Down B (Air),Fair,Jab/Dash Attack/Side B (Air),Up Smash (Latest Hit),Fair,Down B (Air),Jab/Dash Attack/Side B (Air),Up Smash (Latest Hit),B,Move is -7 on shield. Down B (Air) comes out on frame 5.,1.0
Min Min,Pikachu,Nair,Pikachu Nair,-7,7,0,1,3,9,8,10,No Guaranteed Punish,Ftilt,Dash Attack,Down Smash,Dash Attack,Ftilt,No Guaranteed Punish,Down Smash,C,Move is -7 on shield. Min Min does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Mario,Pikachu,Fair (Multi Hit),Pikachu Fair (Multi Hit),-10,10,10,5,3,2,10,10,Shield Grab,Up Smash (final hitbox),F Smash,No Guaranteed Punish,F Smash,Up Smash (final hitbox),No Guaranteed Punish,Shield Grab,D,Move is -10 on shield. Shield Grab comes out on frame 10.,1.0
Donkey Kong,Pikachu,Fair (Multi Hit),Pikachu Fair (Multi Hit),-10,10,0,1,7,11,4,14,No Guaranteed Punish,Ftilt,Neutral B (Full Charge),Dash Attack,Neutral B (Full Charge),Ftilt,No Guaranteed Punish,Dash Attack,C,Move is -10 on shield. Donkey Kong does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Link,Pikachu,Fair (Multi Hit),Pikachu Fair (Multi Hit),-10,10,10,3,11,1,5,11,Shield Grab/Nair/Up Smash,Up B,Ftilt,Dash Attack,Ftilt,Dash Attack,Shield Grab/Nair/Up Smash,Up B,C,Move is -10 on shield. Shield Grab/Nair/Up Smash comes out on frame 10.,1.0
Samus,Pikachu,Fair (Multi Hit),Pikachu Fair (Multi Hit),-10,10,4,2,5,6,10,11,Up B,Dair (Meteor),Nair/Up Smash,Neutral B,Dair (Meteor),Neutral B,Nair/Up Smash,Up B,D,Move is -10 on shield. Up B comes out on frame 4.,1.0
Yoshi,Pikachu,Fair (Multi Hit),Pikachu Fair (Multi Hit),-10,10,6,2,9,3,10,10,Nair,Fair (Latest Hit),Up Tilt/Dtilt/Dair,Dash Attack,Fair (Latest Hit),Nair,Up Tilt/Dtilt/Dair,Dash Attack,B,Move is -10 on shield. Nair comes out on frame 6.,1.0
Kirby,Pikachu,Fair (Multi Hit),Pikachu Fair (Multi Hit),-10,10,10,2,3,4,6,11,Shield Grab,F Smash,Nair/Up Air,Up Smash,Up Smash,Nair/Up Air,Shield Grab,F Smash,C,Move is -10 on shield. Shield Grab comes out on frame 10.,1.0
Fox,Pikachu,Fair (Multi Hit),Pikachu Fair (Multi Hit),-10,10,10,5,10,1,9,10,Shield Grab/Fair,Nair,Dash Attack,F Smash,Shield Grab/Fair,Nair,F Smash,Dash Attack,A,Move is -10 on shield. Shield Grab/Fair comes out on frame 10.,1.0
Pikachu,Pikachu,Fair (Multi Hit),Pikachu Fair (Multi Hit),-10,10,10,3,5,4,10,11,Up Smash,No Guaranteed Punish,Up Tilt (Latest Hit),Fair,Fair,Up Tilt (Latest Hit),Up Smash,No Guaranteed Punish,C,Move is -10 on shield. Up Smash comes out on frame 10.,1.0
Luigi,Pikachu,Fair (Multi Hit),Pikachu Fair (Multi Hit),-10,10,10,4,5,2,7,11,Fair,Up Tilt/Dtilt/Ftilt,F Smash,Up B/Up Air,Fair,F Smash,Up Tilt/Dtilt/Ftilt,Up B/Up Air,A,Move is -10 on shield. Fair comes out on frame 10.,1.0
Ness,Pikachu,Fair (Multi Hit),Pikachu Fair (Multi Hit),-10,10,10,3,10,5,11,11,Up Smash/Shield Grab/Down B (Air),Up Tilt,Dash Attack,Jab/Dtilt,Dash Attack,Up Smash/Shield Grab/Down B (Air),Jab/Dtilt,Up Tilt,B,Move is -10 on shield. Up Smash/Shield Grab/Down B (Air) comes out on frame 10.,1.0
Captain Falcon,Pikachu,Fair (Multi Hit),Pikachu Fair (Multi Hit),-10,10,10,2,11,3,10,11,Shield Grab/Nair/Up Air,F Smash/Down Smash,Dair,Up Smash/Dtilt,Up Smash/Dtilt,F Smash/Down Smash,Dair,Shield Grab/Nair/Up Air,D,Move is -10 on shield. Shield Grab/Nair/Up Air comes out on frame 10.,1.0
Jigglypuff,Pikachu,Fair (Multi Hit),Pikachu Fair (Multi Hit),-10,10,10,4,8,10,9,12,Shield Grab/Dair,Up Air (Latest Hit),Jab/Dash Attack/Side B (Air),Dtilt,Shield Grab/Dair,Jab/Dash Attack/Side B (Air),Dtilt,Up Air (Latest Hit),A,Move is -10 on shield. Shield Grab/Dair comes out on frame 10.,1.0
Min Min,Pikachu,Fair (Multi Hit),Pikachu Fair (Multi Hit),-10,10,8,2,5,9,3,10,Up Smash,Down Smash,Ftilt,No Guaranteed Punish,Ftilt,Up Smash,No Guaranteed Punish,Down Smash,B,Move is -10 on shield. Up Smash comes out on frame 8.,1.0
Mario,Pikachu,Fair (Final Hit),Pikachu Fair (Final Hit),-9,9,7,4,1,5,6,10,Up Air,F Smash,Up B,Shield Grab,Shield Grab,Up Air,Up B,F Smash,B,Move is -9 on shield. Up Air comes out on frame 7.,1.0
Donkey Kong,Pikachu,Fair (Final Hit),Pikachu Fair (Final Hit),-9,9,0,1,14,11,13,14,No Guaranteed Punish,Dash Attack,Up B (Ground),Side B,Dash Attack,Side B,No Guaranteed Punish,Up B (Ground),C,Move is -9 on shield. Donkey Kong does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Link,Pikachu,Fair (Final Hit),Pikachu Fair (Final Hit),-9,9,7,2,9,1,10,11,Up B,No Guaranteed Punish,Ftilt,F Smash,F Smash,Up B,No Guaranteed Punish,Ftilt,B,Move is -9 on shield. Up B comes out on frame 7.,1.0
Samus,Pikachu,Fair (Final Hit),Pikachu Fair (Final Hit),-9,9,4,2,1,4,10,11,Up B,Up Tilt (Latest Hit),Dtilt,Dair (Meteor),Up Tilt (Latest Hit),Dair (Meteor),Up B,Dtilt,C,Move is -9 on shield. Up B comes out on frame 4.,1.0
Yoshi,Pikachu,Fair (Final Hit),Pikachu Fair (Final Hit),-9,9,6,2,8,6,3,10,Nair,Fair (Latest Hit),Ftilt,Up Smash,Nair,Up Smash,Fair (Latest Hit),Ftilt,A,Move is -9 on shield. Nair comes out on frame 6.,1.0
Kirby,Pikachu,Fair (Final Hit),Pikachu Fair (Final Hit),-9,9,0,1,10,9,5,11,No Guaranteed Punish,Dtilt,Dash Attack,F Smash,F Smash,Dash Attack,No Guaranteed Punish,Dtilt,C,Move is -9 on shield. Kirby does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Fox,Pikachu,Fair (Final Hit),Pikachu Fair (Final Hit),-9,9,8,4,2,9,10,10,Up Smash/Dair,Dash Attack,F Smash,Down Smash,Dash Attack,F Smash,Down Smash,Up Smash/Dair,D,Move is -9 on shield. Up Smash/Dair comes out on frame 8.,1.0
Pikachu,Pikachu,Fair (Final Hit),Pikachu Fair (Final Hit),-9,9,6,2,8,1,6,11,Nair,No Guaranteed Punish,Down Smash,F Smash,Down Smash,F Smash,Nair,No Guaranteed Punish,C,Move is -9 on shield. Nair comes out on frame 6.,1.0
Luigi,Pikachu,Fair (Final Hit),Pikachu Fair (Final Hit),-9,9,8,3,5,6,9,11,Up B/Up Air,Up Smash (Latest Hit)/Jab/Dair,No Guaranteed Punish,Up Tilt/Dtilt/Ftilt,Up Smash (Latest Hit)/Jab/Dair,Up B/Up Air,No Guaranteed Punish,Up Tilt/Dtilt/Ftilt,B,Move is -9 on shield. Up B/Up Air comes out on frame 8.,1.0
Ness,Pikachu,Fair (Final Hit),Pikachu Fair (Final Hit),-9,9,8,2,10,8,1,11,Nair,No Guaranteed Punish,Jab/Dtilt,Side B (Ground),Side B (Ground),No Guaranteed Punish,Jab/Dtilt,Nair,D,Move is -9 on shield. Nair comes out on frame 8.,1.0
